EVENTTYPE,REGISTERDATE,STOPID,ODOMETER,LATITUDE,LONGITUDE,TASKID,LINEID,TRIPID,DATAGRAMID,DATAGRAMDATE,BUSID
0,01-NOV-18,-1,-1,34551067,-765313767,-1,-1,-1,5792069059,01-NOV-18 05.35.29.000000 AM,1051
0,01-NOV-18,500159,900,-1,-1,534,140,15,5792069060,01-NOV-18 05.35.29.000000 AM,888
0,01-NOV-18,511281,699,-1,-1,288,2121,24,5792069061,01-NOV-18 05.35.29.000000 AM,151
0,01-NOV-18,511232,256,33357017,-765241000,257,318,7,5792069062,01-NOV-18 05.35.29.000000 AM,104
0,01-NOV-18,502303,27,33671883,-765291983,829,2101,14,5792069063,01-NOV-18 05.35.29.000000 AM,1137
0,01-NOV-18,513188,366,34643450,-765007733,106,3371,10,5792069064,01-NOV-18 05.35.29.000000 AM,907
0,01-NOV-18,511475,320,33813533,-765106483,1188,3132,5,5792069065,01-NOV-18 05.35.30.000000 AM,873
0,01-NOV-18,-1,-1,-1,-1,-1,-1,-1,5792069066,01-NOV-18 05.35.30.000000 AM,876
0,01-NOV-18,513062,-1,34808933,-764888700,953,2241,239,5792069067,01-NOV-18 05.35.30.000000 AM,1089
0,01-NOV-18,514003,-1,-1,-1,883,2212,14,5792069068,01-NOV-18 05.35.30.000000 AM,962
0,01-NOV-18,517046,233,34040883,-765497633,108,373,399,5792069069,01-NOV-18 05.35.30.000000 AM,902
0,01-NOV-18,513256,34,34900250,-765074767,786,2273,1336,5792069070,01-NOV-18 05.35.30.000000 AM,1026
0,01-NOV-18,-1,5501,34127600,-765479117,1007,217,9989,5792069071,01-NOV-18 05.35.30.000000 AM,1125
0,01-NOV-18,511214,-1,33385650,-765298600,1067,311,11,5792069072,01-NOV-18 05.35.30.000000 AM,1154
0,01-NOV-18,501001,473,34446667,-765307917,984,421,8,5792069073,01-NOV-18 05.35.30.000000 AM,628
0,01-NOV-18,514155,483,34472583,-764840383,850,283,75,5792069074,01-NOV-18 05.35.30.000000 AM,1079
0,01-NOV-18,502400,867,34648467,-765243117,259,305,9997,5792069075,01-NOV-18 05.35.30.000000 AM,821
0,01-NOV-18,514156,32,34469617,-764840667,850,283,75,5792069076,01-NOV-18 05.35.30.000000 AM,1079
0,01-NOV-18,511267,34,33802583,-765161900,331,3131,12,5792069077,01-NOV-18 05.35.30.000000 AM,85
0,01-NOV-18,514116,-1,34533500,-765167350,310,2401,7,5792069078,01-NOV-18 05.35.30.000000 AM,251
0,01-NOV-18,501803,5,34189100,-765482200,167,131,471,5792069079,01-NOV-18 05.35.30.000000 AM,389
0,01-NOV-18,511197,20,33371200,-765317467,454,3191,10,5792069080,01-NOV-18 05.35.30.000000 AM,287
0,01-NOV-18,514206,31,34069450,-764748033,390,142,16,5792069081,01-NOV-18 05.35.30.000000 AM,918
0,01-NOV-18,511386,114,33589150,-765213850,80,3171,14,5792069082,01-NOV-18 05.35.30.000000 AM,312
0,01-NOV-18,511214,164,33386617,-765274250,1023,217,874,5792069083,01-NOV-18 05.35.30.000000 AM,1156
0,01-NOV-18,502309,-1,33667367,-765285383,314,3133,22,5792069084,01-NOV-18 05.35.30.000000 AM,108
0,01-NOV-18,502501,4,34784850,-765170233,964,421,5,5792069085,01-NOV-18 05.35.30.000000 AM,1128
0,01-NOV-18,514214,33,34335833,-764716083,717,142,12,5792069086,01-NOV-18 05.35.30.000000 AM,250
0,01-NOV-18,514415,34,34201200,-764852450,435,2471,366,5792069087,01-NOV-18 05.35.30.000000 AM,850
